id,screen_name
920851688516476939,DorianGarca3
120974776,sebaveraz
761985912456613888,willweinbach
840050516294021120,DerechoUST
920836810451968000,Anasol98787057
920833707346448384,Sebastianwtf_ok
920827327818366976,DianaMa15445720
920820533985533952,Rodrigo87576113
920819644231012352,lnpnpn
559646115,HernanEBenavide
920812748539297792,jfjfi_jfjfjf
522659520,didiermauricio4
73044064,pitagora21
4554157155,facusepulveda20
505384078,AlejoVeraovalle
2116751,carlosd
135199881,claudio_zavala
70229697,jdargam
532196010,Tomacho_App
920791150042255360,Joacobolo
408197614,YerkoSarricueta
917547981531951104,Luis49401466
917973172103929858,Avn04585395
552229838,JJReye
917259807563927553,ClaudiaBugueo7
402277242,Emilio0201
918503936633516033,s99461180
906095291459350532,GiselaIrribarr1
920765169055223808,bybbfclzybwlxz1
919303958249791493,LuisC_1668
155148027,situsinversus94
920750163504828416,CarolaineMon
96079953,matty_22_22
913200725806678016,SebaEspindolaCA
920705903418101760,MatasBg1
920729563554074625,RamirezHetor
328756830,carlosfiguero21
388385483,pilarein
540585837,torres__cris
920676347973906432,Manuelv26953548
185338777,gust_aguilar
157103798,Dgmorgado23
920701040403664896,Samjh1663
714834832514281472,Apis_AG
920676883771150338,AndreaD66698502
62615488,lapizscripto
264903735,drletter
472976072,EstebanNC23
717283727366295552,YumbelVivo
410404747,FlorencioMKR
876145305703645194,ximecarbacho
920654969153482752,yckybzeiyldsj21
773647037460049921,edobch
843990948715646977,jano_producer
920470263619313664,Alfredo63942190
920634707078938624,darw_wilson
920614157757632514,JosMonsalve17
147661040,davemasoul
268108010,Piriti_DaftPunk
914916960613388289,CteFrodo_
873718104,Paula39979567
920615072996749312,ErrPaola
2153269278,Gio_Logical
88086311,OSO_ROJOSO
582413337,mvialm
163281459,tuiterrific
901039046318804992,HectoDonoso
872529287571812353,ConiMiranFer
168290475,fejaro
263332086,apaolocastro
2939608744,GonzalKenny
1837620541,hola_mar
903577378848374784,Pato_Malo_83
1594584938,lolitarunrun
887300105174491136,pittymix1977
348631266,patinuez
920536502098124800,Miningport2017
920508528049250304,Alex32107806
920501614540218368,Eladiojaramill1
920500085028421633,Goic2Vuelta
918582574137708544,AmbientemarC
308222983,maxpintolopez
84218621,barbarazf
2816637533,NicojonesPUCV
2904460107,todomeyko
920488268780724226,RoddySeguel
897616492132478976,villarroel095
877751503796174856,Fersep221994
871821721996840960,m1c2b
78755525,jpherrerao
118569353,miojaures
920480646971232256,Carolin70126353
920480845009473538,MarcoYanes1
920454761740230656,supierastusi
920478308034375685,Dardanett
1322617237,pazlolaa
911346900846116865,Tandres233
916828028579319808,krlitos961810
909160461106651136,Taxista01598791
2449951884,chechita1992
id,screen_name
3350240104,NelsonBarrigaC2
920471045559214081,Urbansantiago2
913566780865617920,alexswarts100
919400259238981634,andrkoppm
98917317,santiagoe10
919375332263817216,mjosefy87
915766380712034304,huachiminga_t
125176431,ChileanCrippler
753052497321787392,SeguelSaul
119179850,Rosit_PM
120605560,sebacaceresm
453229741,AlfreRosendeUE
157459617,markko_chile
920447608048545793,PamelaC15958994
920440890950406144,sanrafito
3568284377,Ricardogtm
100621295,watsonjamesl
916303017334460416,JuanTo27899327
47482424,LaCalamitosa
66021411,MrJavierIgnacio
447330448,r_gustav
823267394,mauromadariagaa
243658345,Tophandd
920407847250415617,otramiradap
363919191,edgatica
905113273095376896,enterateupa
1597372669,PreciosaAstrid
722962862898028544,GatoalbertD
920386778363817984,NemesioArancib1
858070575209689088,RodriFdez848
4559697435,maracocaro
912291830196310016,DiegoJansen666
821363769637031936,PVolaris
920380160922345475,YarelaSolangee_
72750794,PdroAlm3ndras2
920364503258288128,sebajsd
920361391940427776,Katherinegarri
920355117316141057,JOHANNY19814
920356708605718537,Armando53701349
920356632403595264,Caetearespinosa
220038446,AntoPerezS
920353416169353216,MarySanhueza5
160003388,IgnacioPavon
865372676914851841,MariaCa34903092
918933741845860355,Grimaldiscoffee
40843399,Sr_figueroa24
920324464495218691,CesarAl88226993
920323781385752576,AnaMari10461631
381796605,belen_badilla
703225778490753025,marcelo05974037
920309254401216512,ruizguichapani
920303306609741824,CapitanGinyu
906582745861763072,piasotor
920295493607051264,NyleveParedes
865678184339173376,GustavoCJ2199
920290151779262466,Katheri13916240
401386576,PamelaGonzlezT
90277834,SJCarrascoV
762637299062636544,katia_valeria77
908004898771521536,ReyesdonosoX
349042769,Rocio_Alvaradoa
97030860,RVidalH
49795610,olieer
920247826382192640,pameflopurpura
920264872457273344,FerdinandoRoys
367496398,cris_santacruz
14941053,frankjvc
272537898,valeskavargasw
920258762061041665,aylininthesky
920062388640141312,Rodrigo38014547
2155265973,MisterDavip
283272262,Jaimeblancoc
1877357594,economiscista
347276986,Fanchi_
2642734263,ERsparza
919521567666855936,Francis78205363
296418503,GabyAlejandra36
151962975,nataliafreirela
852329190636609537,seba_araus
30022986,Ursulaok
146445190,zorronegr
108388261,abdonpizarro
338780782,masamanx
3153778206,ricardoriquelm
920172626525421569,althajames179
561659510,Moyatru
920159163174522880,CefredJosep
915856049525182464,DayannaGallard9
249966187,SociedaPolitica
920138734863048705,emersonlop3z
866845304,MazapMella
920127632779436033,alexi_apablaza
918633547015041024,sfvidela1
920116597033000960,JoseHer57090220
918283666182361088,yarlimfrizita
478909210,FcoJimenez89
920104607363321856,cristian28azul
1013750892,marcela_momberg
884257680952610817,Alex_Bigblock
920099818671955968,CarolinaLibuy
id,screen_name
67980378,mpaa75
191702864,LOlivarestoro
919747188900679680,Pulso_hlopez
153781985,felipebermudezv
125755272,anifuentesn
920078633519239171,correa_clemente
920087017907777536,RuthSeron4
920079855814959104,Alejand66601219
1395974856,anysarsar
920078043594592256,RocioRneiramer
920077250107670530,Yannia52068992
255778274,mancisidors
920064799215669249,gloriabecker101
191935862,eks_Lime
920060684729274368,sama_videl
920060517980557312,viicho_perez
806330165273968640,JoseLui68111698
920054605043597314,JaraCooni
919690987362029568,EstayCristi
1046615497,davidri76170738
920036603384524800,Alejand43653685
1685843737,petacagh
1692936829,Jorgito_Anibal
1332371000,MarcaInteligent
120355296,RodEchever81
920008932705349633,Seba_D04
593960008,dirac_cultura
2173978318,gwen_katty
920000697638285312,PiaCons12290890
919997094806552576,SaldiasTatiana
919981041431072768,PayasoBinky
919994660378042368,leiva98320311
877868868840165377,loretorivera17
118697971,NicoNachin
919990905356025856,Marcela39767909
411959188,MnicaOrozco
919988683666788353,mat1alvarado
555403258,FATAL_EYS
919978507215753217,nina19052005
31490056,KikeSantana
347410310,franklinsb56
919970455980736512,velasquez_ilse
3303352504,AntoniaCaifil
915668505256763393,MacanudoDT
909432384105394177,PandorfaIgnacio
67132495,iareyte
916482025477083139,MarioSolar8
879919412626812928,eugenio_aravena
1284913273,hector_uribe63
905176168873254913,YeseniaMancil14
919935960762208263,pita_palama
919930889286676480,Pato_MaldonadoD
2327696784,manoenlatierra
919921948112687104,Jacquel57113972
860124318,Enap_Informa
2875215981,mobn14
175849637,rgomezcaro
919892093102936064,sandon_jorge
919890996795604992,Beto07144018
919890306933444608,minina1231
919889419527651328,Gabrielitatilva
2925734079,yeanpierre87
135015065,cadagnin
253344812,Vivitamorenoc
717015937,martalidiapm
919877186588499969,DenisseParede16
