id,screen_name
2512400514,maeblancov
86781886,shinobicode
145101638,_Syous
894052929698758656,CarmenPazSaave1
476052368,NormaPierola
536836111,freddybuho
318716166,helenmadariaga
3436959598,sebaxtian_HD
884516128080486400,urra_silva
2168902041,Hectolivares
120974776,sebaveraz
920853961665589248,SaraEle38283140
874470413463629825,Patrici51946996
704817538627203073,CisternaAraos
293235556,Ernestolizarazu
105836894,ansepm
863170431444025347,hugaldeoliva49
863885061430677505,marianvalsot
920845062489235456,Joaquin93751617
147386659,__Gonzalo__
920842498045546496,carofiguejofre
1374621912,ISRAELANGEL777
920840866159357959,liamoenap
2845107900,MartinSala00
2925085896,aafcaafc
920838445148377088,apvxnqcomhul125
4868082293,maryoritalmend1
919116169965195264,Pablo07440153
919677879444758533,Aptimate
122098649,LordNeoExe
903046810507337728,MarisolPrezRus1
76482426,stempelish
904708975513522176,BurboaNelson
920833149462024193,Eli_Hipp
920830141718286336,ta_jeki
920832286270152705,Cris54053422
920831720399699969,Karen05945461
844285667039416320,Mitokzen
920830719215198209,xmgbsoghh2645
920830519717318659,khyhscrsozk2584
920829598627135488,Queno54123144
920829730689044481,Leonard79692835
1025425362,Cristobal_154
920829431647744000,ZolucitAyuda
920828829475704832,Rodrigo81288838
87611586,Bastidors
69630401,Mora78
1258291622,jfloresargandon
920825957912596480,IsraelV74893159
587781928,leonardorok1
488629187,jsaenz30
595120162,chileideal
893540851879731200,PapuTots
379475691,gustavoferrada_
780768822,MirandaCamus
348826070,benavide1
802257363910725632,alambritoG2
824347867057967104,rodrigochillan1
914143875362693121,Coto63553886
837410534735609864,edd_novoa
156408580,Marxelu
920820515182399488,lfvlftroglhln11
156307143,catrilea
2861270078,jvilchesiba1
920817739798892544,irwutyaymihpq21
919642244575059968,doniwi
885852546186842112,QuilpueMeteo
846889541130764288,Mataismyson
895643647248654336,Agustin4003
920817773110054912,CarlosRecabar12
895497381558571009,agurto_rafael
874652410907680768,Thequestcl
163088861,flaquitamaga
1240035133,ctroncosoch
384652030,JhonnyRoa_V
913412483179798530,OscarGuzman1968
533745047,9templarios
103354163,zone_steban
186968598,aureaguerra
200161003,Ernes1978
920814824552099840,AndreesxTapiaE
158131301,fabitote
920811698579271680,recabarren45
327983712,xxyayo
822450517154664448,edusquinteros
920810791720321025,JoelHernanAvil5
126962631,tituky
142696200,andyriquelme
878317512579989504,J_GrayGaio
130276836,mari_light
920808015464423430,gamerz_benja
215137325,SebaCisternaas
920719086635581440,juanramirezTuco
4554157155,facusepulveda20
93563317,cricrimson
4702760498,HitlerVerdad
155759795,siguesinmi
2554861552,cuevas_toro
920800598567608320,Jessicisterna
919672087165448193,LabbeRikardo
id,screen_name
773725678881665025,PilladoLoreto
241110423,Patricio_LR6
920798504821448709,bjzesqkcwud2830
3402056385,Pericol29137782
920796955500077056,stevenduckett13
135199881,claudio_zavala
920797116812972032,Maira24470562
920795422116982784,rwpgzftffhrl970
361226181,gparraguez22
1306231333,JuanCarlos07777
920790921662345216,abdelgh80318892
3224772994,VianiEsteban
408197614,YerkoSarricueta
4924418806,LifeorBear
757902932515889153,pedro01010101
920786707439603713,EdgardoManriqu3
165274393,JorgeGonzalezas
912851285543735296,CifuentesGisel
55707091,dmnavalon
920784185299697664,DuaLipaChile_95
920783735406153728,Fran49177856
889924885769854976,PilarFe91366553
2691524871,tamiferj
44814811,Padnob
920781929988968448,Antonia54880974
2719372671,FabiAbarca
199533909,Fco_BritoNova
920780446774038528,nrdawkcpimb1162
233339998,cristobalmehech
920775764651503616,yvjwfksv2778
920777814009438209,lissette_perez_
920776983646232582,AilynMa42959894
103961040,morilight
81720850,moralesmora
85903894,Elijeldres
224209432,javovillablanca
2729621225,CorvusMkinG
808774924387160064,Gladys64245203
916057049456435200,Yerko82915543
920770317878026240,Monines62
402277242,Emilio0201
920771093119602690,CarlosCuevasPa4
920769134627033089,ovzjelszoyl521
371789684,lcarrascoq
2624574622,MaricelPinilla
910259495418331136,MCalfulipi
2985099622,Carosteguip
879094295038439424,PriscilaChaura
4728442553,TrinoFavorito
155598095,Juvag0
920759055915913226,GeraldEscobar9
455539545,leobeltrand
920743315808702464,Instalcom_chile
2786090933,maximojphm
744878855635279872,ulicce
617783613,javiercastrob
722617021729529857,jorgeosoriosz
367860033,jolo_gp
920754604995960832,JeremallaLyris
1445257922,Diego_Albornoz2
32109683,thiskubrick
9108562,marceloraizman
919021126663262208,JUANCHIFE_
124426845,fabiancit
504904076,davidro27
920749239050948609,OmarRey92622648
4072262001,Adibeju
920747357200945153,Elproga59007232
57646136,KanoMuoz
920744742186516481,JJaksicVera
712452701414694917,felic_palma
193263804,lucia_morel
920741220946792450,bau_ivon
61019169,edgutierrezp
3308179958,carlosmercadota
396714772,angelito_eys_c
1452592920,SergioVarasMuoz
402365284,DavidArielGK
3784895261,DiabloRojoPES7
2574448439,cab_ing
164317009,Hebert19
149983526,Defra_Music
804878393858805761,Elbriigido
1101213126,felipemuradin
405660496,Noemi_Mara
2666150019,katrinacienta
920734520059596802,NikolasVillega2
920734420700680192,VCheyre
557925600,cramiver
134870156,ibarraespinosa1
856799222,trincheradetito
477637571,PatriciaDiazAra
